game_datetime,team_home,team_away,odds_home,odds_away,outcome
2021/11/4 07:00,Cleveland Cavaliers,Portland Trail Blazers,2.84,1.46,HOME
2021/11/4 07:30,Brooklyn Nets,Atlanta Hawks,1.55,2.58,HOME
2021/11/4 08:00,Minnesota Timberwolves,Los Angeles Clippers,2.18,1.72,AWAY
2021/11/4 08:00,Memphis Grizzlies,Denver Nuggets,2,1.86,HOME
2021/11/4 08:30,San Antonio Spurs,Dallas Mavericks,2.1,1.78,AWAY
2021/11/4 10:00,Sacramento Kings,New Orleans Pelicans,1.45,2.89,HOME
2021/11/4 10:00,Golden State Warriors,Charlotte Hornets,1.41,3.02,HOME
2021/11/5 07:00,Detroit Pistons,Philadelphia 76ers,2.64,1.52,AWAY
2021/11/5 07:30,Miami Heat,Boston Celtics,1.39,3.14,AWAY
2021/11/5 07:30,Atlanta Hawks,Utah Jazz,1.98,1.88,AWAY
2021/11/5 10:00,Phoenix Suns,Houston Rockets,1.14,6.07,HOME
2021/11/5 10:30,Los Angeles Lakers,Oklahoma City Thunder,1.17,5.33,AWAY
2021/11/6 07:00,Washington Wizards,Memphis Grizzlies,1.74,2.15,HOME
2021/11/6 07:00,Orlando Magic,San Antonio Spurs,2.42,1.6,AWAY
2021/11/6 07:00,Detroit Pistons,Brooklyn Nets,4.9,1.2,AWAY
2021/11/6 07:30,Toronto Raptors,Cleveland Cavaliers,1.44,2.94,AWAY
2021/11/6 07:30,Milwaukee Bucks,New York Knicks,1.63,2.39,AWAY
2021/11/6 08:00,Minnesota Timberwolves,Los Angeles Clippers,2.21,1.71,AWAY
2021/11/6 10:00,Sacramento Kings,Charlotte Hornets,1.77,2.1,HOME
2021/11/6 10:00,Portland Trail Blazers,Indiana Pacers,1.45,2.86,HOME
2021/11/6 10:00,Golden State Warriors,New Orleans Pelicans,1.22,4.57,HOME
2021/11/7 05:00,Denver Nuggets,Houston Rockets,1.16,5.65,HOME
2021/11/7 07:30,Miami Heat,Utah Jazz,1.95,1.91,HOME
2021/11/7 08:00,Chicago Bulls,Philadelphia 76ers,1.58,2.48,AWAY
2021/11/7 08:30,Dallas Mavericks,Boston Celtics,1.62,2.37,HOME
2021/11/7 10:00,Phoenix Suns,Atlanta Hawks,1.63,2.36,HOME
2021/11/7 10:30,Portland Trail Blazers,Los Angeles Lakers,1.51,2.69,HOME
2021/11/8 04:30,Toronto Raptors,Brooklyn Nets,2.35,1.64,AWAY
2021/11/8 07:00,Washington Wizards,Milwaukee Bucks,1.96,1.89,HOME
2021/11/8 07:00,Sacramento Kings,Indiana Pacers,1.74,2.16,AWAY
2021/11/8 07:00,Orlando Magic,Utah Jazz,5.83,1.15,HOME
2021/11/8 07:00,New York Knicks,Cleveland Cavaliers,1.32,3.57,AWAY
2021/11/8 08:00,Oklahoma City Thunder,San Antonio Spurs,2.39,1.62,HOME
2021/11/8 09:30,Golden State Warriors,Houston Rockets,1.1,7.59,HOME
2021/11/8 10:00,Los Angeles Clippers,Charlotte Hornets,1.41,3.05,HOME
2021/11/9 08:00,Philadelphia 76ers,New York Knicks,2.08,1.8,AWAY
2021/11/9 09:00,Memphis Grizzlies,Minnesota Timberwolves,1.54,2.58,HOME
2021/11/9 09:00,Chicago Bulls,Brooklyn Nets,1.96,1.9,HOME
2021/11/9 09:30,Dallas Mavericks,New Orleans Pelicans,1.24,4.35,HOME
2021/11/9 10:00,Denver Nuggets,Miami Heat,2.07,1.81,HOME
2021/11/9 11:00,Sacramento Kings,Phoenix Suns,2.36,1.63,AWAY
2021/11/9 11:00,Golden State Warriors,Atlanta Hawks,1.61,2.4,HOME
2021/11/9 11:30,Los Angeles Lakers,Charlotte Hornets,1.75,2.16,HOME
2021/11/10 08:30,Philadelphia 76ers,Milwaukee Bucks,3.45,1.34,AWAY
2021/11/10 10:00,Utah Jazz,Atlanta Hawks,1.25,4.17,HOME
2021/11/10 11:00,Los Angeles Clippers,Portland Trail Blazers,1.67,2.29,HOME
2021/11/11 08:00,Orlando Magic,Brooklyn Nets,4.64,1.21,AWAY
2021/11/11 08:00,Cleveland Cavaliers,Washington Wizards,2.35,1.63,AWAY
2021/11/11 08:30,New York Knicks,Milwaukee Bucks,1.62,2.38,AWAY
2021/11/11 08:30,Houston Rockets,Detroit Pistons,1.68,2.26,AWAY
2021/11/11 08:30,Boston Celtics,Toronto Raptors,1.66,2.3,HOME
2021/11/11 09:00,New Orleans Pelicans,Oklahoma City Thunder,1.55,2.54,AWAY
2021/11/11 09:00,Memphis Grizzlies,Charlotte Hornets,1.54,2.58,AWAY
2021/11/11 09:00,Chicago Bulls,Dallas Mavericks,1.62,2.39,HOME
2021/11/11 09:30,San Antonio Spurs,Sacramento Kings,1.9,1.95,HOME
2021/11/11 10:00,Phoenix Suns,Portland Trail Blazers,1.5,2.71,HOME
2021/11/11 10:00,Denver Nuggets,Indiana Pacers,2.39,1.62,HOME
2021/11/11 11:00,Los Angeles Lakers,Miami Heat,2.83,1.46,HOME
2021/11/11 11:00,Golden State Warriors,Minnesota Timberwolves,1.31,3.61,HOME
2021/11/12 08:00,Philadelphia 76ers,Toronto Raptors,1.59,2.47,AWAY
2021/11/12 10:00,Utah Jazz,Indiana Pacers,1.18,5.18,AWAY
2021/11/12 11:30,Los Angeles Clippers,Miami Heat,1.48,2.79,HOME
2021/11/13 08:00,Charlotte Hornets,New York Knicks,2.24,1.69,HOME
2021/11/13 08:30,Cleveland Cavaliers,Detroit Pistons,1.5,2.69,HOME
2021/11/13 08:30,Boston Celtics,Milwaukee Bucks,1.47,2.81,HOME
2021/11/13 09:00,Oklahoma City Thunder,Sacramento Kings,2.67,1.51,HOME
2021/11/13 09:00,New Orleans Pelicans,Brooklyn Nets,4.53,1.22,AWAY
2021/11/13 09:00,Memphis Grizzlies,Phoenix Suns,2.08,1.79,AWAY
2021/11/13 09:00,Houston Rockets,Portland Trail Blazers,3.23,1.37,AWAY
2021/11/13 09:30,San Antonio Spurs,Dallas Mavericks,2.19,1.71,AWAY
2021/11/13 10:00,Denver Nuggets,Atlanta Hawks,1.62,2.38,HOME
2021/11/13 11:00,Golden State Warriors,Chicago Bulls,1.45,2.91,HOME
2021/11/13 11:30,Los Angeles Lakers,Minnesota Timberwolves,1.8,2.07,AWAY
2021/11/14 06:00,Utah Jazz,Miami Heat,1.29,3.8,AWAY
2021/11/14 08:00,Orlando Magic,Washington Wizards,2.59,1.53,AWAY
2021/11/14 08:00,New Orleans Pelicans,Memphis Grizzlies,2.35,1.63,HOME
2021/11/14 08:00,Indiana Pacers,Philadelphia 76ers,1.6,2.42,HOME
2021/11/14 08:30,Toronto Raptors,Detroit Pistons,1.27,3.99,AWAY
2021/11/14 09:00,Cleveland Cavaliers,Boston Celtics,1.94,1.92,HOME
2021/11/14 11:30,Los Angeles Clippers,Minnesota Timberwolves,1.36,3.29,HOME
2021/11/15 04:30,Los Angeles Lakers,San Antonio Spurs,1.74,2.17,HOME
2021/11/15 07:00,Atlanta Hawks,Milwaukee Bucks,1.76,2.14,HOME
2021/11/15 08:00,Oklahoma City Thunder,Brooklyn Nets,4.34,1.24,AWAY
2021/11/15 08:00,Houston Rockets,Phoenix Suns,4.02,1.26,AWAY
2021/11/15 08:00,Charlotte Hornets,Golden State Warriors,2.79,1.47,HOME
2021/11/15 09:00,Denver Nuggets,Portland Trail Blazers,1.43,2.96,HOME
2021/11/15 10:30,Los Angeles Clippers,Chicago Bulls,1.59,2.46,AWAY
2021/11/16 08:00,Washington Wizards,New Orleans Pelicans,1.54,2.57,HOME
2021/11/16 08:00,Detroit Pistons,Sacramento Kings,2.52,1.56,AWAY
2021/11/16 08:00,Cleveland Cavaliers,Boston Celtics,2.51,1.57,AWAY
2021/11/16 08:30,New York Knicks,Indiana Pacers,1.65,2.31,HOME
2021/11/16 08:30,Atlanta Hawks,Orlando Magic,1.18,5.19,HOME
2021/11/16 09:00,Oklahoma City Thunder,Miami Heat,3.16,1.38,AWAY
2021/11/16 09:00,Minnesota Timberwolves,Phoenix Suns,2.46,1.58,AWAY
2021/11/16 09:00,Memphis Grizzlies,Houston Rockets,1.14,6.09,HOME
2021/11/16 09:00,Dallas Mavericks,Denver Nuggets,1.48,2.77,HOME
2021/11/16 11:00,Portland Trail Blazers,Toronto Raptors,1.64,2.33,HOME
2021/11/16 11:30,Los Angeles Lakers,Chicago Bulls,2.1,1.79,AWAY
2021/11/17 08:30,Brooklyn Nets,Golden State Warriors,1.72,2.21,AWAY
2021/11/17 11:00,Utah Jazz,Philadelphia 76ers,1.18,5.2,HOME
2021/11/17 11:30,Los Angeles Clippers,San Antonio Spurs,1.32,3.52,HOME
2021/11/18 08:00,Detroit Pistons,Indiana Pacers,3.26,1.37,HOME
2021/11/18 08:00,Charlotte Hornets,Washington Wizards,1.89,1.95,HOME
2021/11/18 08:30,New York Knicks,Orlando Magic,1.13,6.39,AWAY
2021/11/18 08:30,Milwaukee Bucks,Los Angeles Lakers,1.24,4.31,HOME
2021/11/18 08:30,Miami Heat,New Orleans Pelicans,1.37,3.25,HOME
2021/11/18 08:30,Brooklyn Nets,Cleveland Cavaliers,1.2,4.87,HOME
2021/11/18 08:30,Atlanta Hawks,Boston Celtics,1.5,2.69,HOME
2021/11/18 09:00,Oklahoma City Thunder,Houston Rockets,1.64,2.34,HOME
2021/11/18 09:00,Minnesota Timberwolves,Sacramento Kings,1.73,2.16,HOME
2021/11/18 11:00,Portland Trail Blazers,Chicago Bulls,1.62,2.38,HOME
2021/11/18 11:00,Phoenix Suns,Dallas Mavericks,1.28,3.96,HOME
2021/11/19 08:30,Miami Heat,Washington Wizards,1.37,3.21,HOME
2021/11/19 08:30,Cleveland Cavaliers,Golden State Warriors,4.54,1.22,AWAY
2021/11/19 09:00,Minnesota Timberwolves,San Antonio Spurs,1.76,2.12,HOME
2021/11/19 09:00,Memphis Grizzlies,Los Angeles Clippers,1.94,1.91,HOME
2021/11/19 10:00,Utah Jazz,Toronto Raptors,1.19,5.05,HOME
2021/11/19 10:00,Denver Nuggets,Philadelphia 76ers,1.31,3.65,AWAY
2021/11/20 08:00,Detroit Pistons,Golden State Warriors,2.11,1.77,AWAY
2021/11/20 08:00,Charlotte Hornets,Indiana Pacers,1.95,1.88,HOME
2021/11/20 08:30,Brooklyn Nets,Orlando Magic,1.21,4.75,HOME
2021/11/20 08:30,Boston Celtics,Los Angeles Lakers,1.9,1.95,HOME
2021/11/20 09:00,New Orleans Pelicans,Los Angeles Clippers,2.58,1.54,HOME
2021/11/20 09:00,Milwaukee Bucks,Oklahoma City Thunder,1.11,7.16,HOME
2021/11/20 10:00,Denver Nuggets,Chicago Bulls,2.11,1.78,AWAY
2021/11/20 11:00,Sacramento Kings,Toronto Raptors,1.64,2.35,AWAY
2021/11/20 11:00,Phoenix Suns,Dallas Mavericks,1.27,4,HOME
2021/11/21 06:00,New York Knicks,Houston Rockets,1.15,6.04,HOME
2021/11/21 08:00,Washington Wizards,Miami Heat,2.18,1.72,HOME
2021/11/21 08:00,Indiana Pacers,New Orleans Pelicans,1.31,3.59,HOME
2021/11/21 08:30,Boston Celtics,Oklahoma City Thunder,1.22,4.62,HOME
2021/11/21 08:30,Atlanta Hawks,Charlotte Hornets,1.35,3.39,HOME
2021/11/21 09:00,Minnesota Timberwolves,Memphis Grizzlies,1.71,2.2,HOME
2021/11/21 09:00,Milwaukee Bucks,Orlando Magic,1.11,7.29,HOME
2021/11/21 11:00,Sacramento Kings,Utah Jazz,3.66,1.31,AWAY
2021/11/21 11:00,Portland Trail Blazers,Philadelphia 76ers,1.34,3.4,HOME
2021/11/22 04:30,Los Angeles Clippers,Dallas Mavericks,1.46,2.82,HOME
2021/11/22 07:00,Detroit Pistons,Los Angeles Lakers,3.44,1.34,AWAY
2021/11/22 09:00,Phoenix Suns,Denver Nuggets,1.2,4.96,HOME
2021/11/22 09:00,Chicago Bulls,New York Knicks,1.46,2.84,HOME
2021/11/22 09:30,Golden State Warriors,Toronto Raptors,1.25,4.17,HOME
2021/11/23 08:00,Washington Wizards,Charlotte Hornets,1.53,2.6,AWAY
2021/11/23 08:00,Cleveland Cavaliers,Brooklyn Nets,2.82,1.46,AWAY
2021/11/23 08:30,Boston Celtics,Houston Rockets,1.15,5.98,HOME
2021/11/23 08:30,Atlanta Hawks,Oklahoma City Thunder,1.1,7.6,HOME
2021/11/23 09:00,New Orleans Pelicans,Minnesota Timberwolves,2.37,1.63,AWAY
2021/11/23 09:00,Milwaukee Bucks,Orlando Magic,1.09,8.07,HOME
2021/11/23 09:00,Chicago Bulls,Indiana Pacers,1.85,2.01,AWAY
2021/11/23 09:30,San Antonio Spurs,Phoenix Suns,2.8,1.46,AWAY
