game_datetime,team_home,team_away,odds_home,odds_away,outcome
2021/10/4 03:30,Los Angeles Lakers,Brooklyn Nets,1.62,2.28,AWAY
2021/10/5 07:00,Toronto Raptors,Philadelphia 76ers,1.72,2.08,HOME
2021/10/5 07:30,Miami Heat,Atlanta Hawks,1.63,2.25,HOME
2021/10/5 07:30,Boston Celtics,Orlando Magic,1.33,3.25,HOME
2021/10/5 08:00,Oklahoma City Thunder,Charlotte Hornets,2.35,1.58,AWAY
2021/10/5 08:00,Minnesota Timberwolves,New Orleans Pelicans,1.65,2.21,HOME
2021/10/5 08:30,San Antonio Spurs,Utah Jazz,2.28,1.61,HOME
2021/10/5 10:00,Sacramento Kings,Phoenix Suns,1.71,2.1,HOME
2021/10/5 10:00,Portland Trail Blazers,Golden State Warriors,1.72,2.1,AWAY
2021/10/5 10:30,Los Angeles Clippers,Denver Nuggets,2.13,1.7,HOME
2021/10/6 07:30,New York Knicks,Indiana Pacers,1.61,2.29,HOME
2021/10/6 08:00,Memphis Grizzlies,Milwaukee Bucks,1.38,3.02,HOME
2021/10/6 08:00,Houston Rockets,Washington Wizards,1.81,1.97,HOME
2021/10/6 08:00,Chicago Bulls,Cleveland Cavaliers,1.44,2.74,HOME
2021/10/7 06:00,Phoenix Suns,Los Angeles Lakers,1.65,2.21,HOME
2021/10/7 07:00,Detroit Pistons,San Antonio Spurs,2.19,1.66,HOME
2021/10/7 07:30,Atlanta Hawks,Cleveland Cavaliers,1.61,2.29,AWAY
2021/10/7 08:00,New Orleans Pelicans,Orlando Magic,1.64,2.22,HOME
2021/10/7 08:30,Dallas Mavericks,Utah Jazz,1.44,2.75,HOME
2021/10/7 10:00,Golden State Warriors,Denver Nuggets,1.48,2.6,HOME
2021/10/7 10:30,Los Angeles Clippers,Sacramento Kings,1.79,1.99,AWAY
2021/10/8 07:00,Philadelphia 76ers,Toronto Raptors,1.47,2.63,HOME
2021/10/8 07:00,Charlotte Hornets,Memphis Grizzlies,1.99,1.8,AWAY
2021/10/8 10:00,Houston Rockets,Miami Heat,2.78,1.43,AWAY
2021/10/9 07:00,Cleveland Cavaliers,Indiana Pacers,2.31,1.61,AWAY
2021/10/9 07:30,Brooklyn Nets,Milwaukee Bucks,1.2,4.49,HOME
2021/10/9 08:00,Chicago Bulls,New Orleans Pelicans,1.28,3.57,HOME
2021/10/9 08:30,San Antonio Spurs,Miami Heat,1.4,2.92,AWAY
2021/10/9 08:30,Dallas Mavericks,Los Angeles Clippers,1.48,2.6,HOME
2021/10/9 09:00,Denver Nuggets,Minnesota Timberwolves,1.58,2.37,AWAY
2021/10/9 10:00,Golden State Warriors,Los Angeles Lakers,1.62,2.27,HOME
2021/10/10 07:00,Washington Wizards,New York Knicks,1.88,1.89,AWAY
2021/10/10 07:00,Boston Celtics,Toronto Raptors,1.61,2.28,HOME
2021/10/10 08:00,Memphis Grizzlies,Atlanta Hawks,1.97,1.81,AWAY
2021/10/11 06:00,Orlando Magic,San Antonio Spurs,2.1,1.72,AWAY
2021/10/11 07:00,Cleveland Cavaliers,Chicago Bulls,3.56,1.29,AWAY
2021/10/11 07:30,Milwaukee Bucks,Oklahoma City Thunder,1.38,3,HOME
2021/10/11 10:00,Los Angeles Lakers,Phoenix Suns,2.12,1.71,AWAY
2021/10/12 07:00,Toronto Raptors,Houston Rockets,1.42,2.82,HOME
2021/10/12 07:30,Miami Heat,Charlotte Hornets,1.27,3.7,HOME
2021/10/12 08:00,Philadelphia 76ers,Brooklyn Nets,3.27,1.33,HOME
2021/10/12 08:00,Memphis Grizzlies,Detroit Pistons,1.39,2.96,HOME
2021/10/12 09:00,Utah Jazz,New Orleans Pelicans,1.27,3.67,HOME
2021/10/12 10:00,Portland Trail Blazers,Sacramento Kings,3.39,1.31,AWAY
2021/10/12 10:30,Los Angeles Clippers,Minnesota Timberwolves,2.1,1.71,AWAY
2021/10/13 07:00,Washington Wizards,Toronto Raptors,1.31,3.37,AWAY
2021/10/13 10:30,Los Angeles Lakers,Golden State Warriors,1.36,3.12,AWAY
2021/10/14 05:00,Phoenix Suns,Portland Trail Blazers,1.36,3.09,HOME
2021/10/14 06:30,Charlotte Hornets,Dallas Mavericks,3.3,1.32,AWAY
2021/10/14 07:00,Orlando Magic,Boston Celtics,1.4,2.92,HOME
2021/10/14 07:00,Indiana Pacers,Memphis Grizzlies,1.31,3.42,HOME
2021/10/14 07:30,New York Knicks,Detroit Pistons,1.27,3.76,HOME
2021/10/14 08:00,Oklahoma City Thunder,Denver Nuggets,3.56,1.28,HOME
2021/10/14 09:00,Utah Jazz,Milwaukee Bucks,1.59,2.34,HOME
2021/10/15 07:00,Atlanta Hawks,Miami Heat,1.13,5.63,HOME
2021/10/15 07:30,Brooklyn Nets,Minnesota Timberwolves,1.3,3.44,HOME
2021/10/15 08:00,Oklahoma City Thunder,Denver Nuggets,2.58,1.5,AWAY
2021/10/15 10:00,Sacramento Kings,Los Angeles Lakers,2.29,1.62,HOME
2021/10/16 06:30,Miami Heat,Boston Celtics,1.28,3.67,HOME
2021/10/16 07:00,Indiana Pacers,Cleveland Cavaliers,1.41,2.91,AWAY
2021/10/16 07:00,Detroit Pistons,Philadelphia 76ers,1.71,2.15,HOME
2021/10/16 07:30,New York Knicks,Washington Wizards,1.41,2.89,HOME
2021/10/16 08:00,Milwaukee Bucks,Dallas Mavericks,1.17,4.94,AWAY
2021/10/16 08:00,Chicago Bulls,Memphis Grizzlies,1.5,2.6,HOME
2021/10/16 08:30,San Antonio Spurs,Houston Rockets,1.58,2.4,HOME
2021/10/16 10:00,Golden State Warriors,Portland Trail Blazers,1.26,3.89,HOME
2021/10/20 07:30,Milwaukee Bucks,Brooklyn Nets,1.86,2.01,HOME
2021/10/20 10:00,Los Angeles Lakers,Golden State Warriors,1.62,2.41,AWAY
2021/10/21 07:00,Detroit Pistons,Chicago Bulls,2.68,1.52,AWAY
2021/10/21 07:00,Charlotte Hornets,Indiana Pacers,1.97,1.9,HOME
2021/10/21 07:30,Toronto Raptors,Washington Wizards,1.7,2.22,AWAY
2021/10/21 07:30,New York Knicks,Boston Celtics,1.74,2.17,HOME
2021/10/21 08:00,New Orleans Pelicans,Philadelphia 76ers,2.38,1.63,AWAY
2021/10/21 08:00,Minnesota Timberwolves,Houston Rockets,1.42,3.02,HOME
2021/10/21 08:00,Memphis Grizzlies,Cleveland Cavaliers,1.34,3.48,HOME
2021/10/21 08:30,San Antonio Spurs,Orlando Magic,1.38,3.19,HOME
2021/10/21 09:00,Utah Jazz,Oklahoma City Thunder,1.1,8.06,HOME
2021/10/21 10:00,Portland Trail Blazers,Sacramento Kings,1.4,3.1,AWAY
2021/10/21 10:00,Phoenix Suns,Denver Nuggets,1.41,3.06,AWAY
2021/10/22 07:30,Atlanta Hawks,Dallas Mavericks,1.72,2.19,HOME
2021/10/22 08:00,Miami Heat,Milwaukee Bucks,1.78,2.13,HOME
2021/10/22 10:00,Golden State Warriors,Los Angeles Clippers,1.58,2.49,HOME
2021/10/23 07:00,Washington Wizards,Indiana Pacers,2.08,1.8,HOME
2021/10/23 07:00,Orlando Magic,New York Knicks,3.72,1.3,AWAY
2021/10/23 07:00,Cleveland Cavaliers,Charlotte Hornets,2.14,1.75,AWAY
2021/10/23 07:30,Philadelphia 76ers,Brooklyn Nets,2,1.86,AWAY
2021/10/23 07:30,Boston Celtics,Toronto Raptors,1.35,3.32,AWAY
2021/10/23 08:00,Houston Rockets,Oklahoma City Thunder,1.67,2.28,HOME
2021/10/23 08:00,Chicago Bulls,New Orleans Pelicans,1.39,3.13,HOME
2021/10/23 09:00,Denver Nuggets,San Antonio Spurs,1.32,3.55,HOME
2021/10/23 10:00,Sacramento Kings,Utah Jazz,3.06,1.4,AWAY
2021/10/23 10:00,Los Angeles Lakers,Phoenix Suns,1.98,1.88,AWAY
2021/10/24 06:00,Cleveland Cavaliers,Atlanta Hawks,3.94,1.27,HOME
2021/10/24 07:00,Indiana Pacers,Miami Heat,2.37,1.63,HOME
2021/10/24 07:30,Toronto Raptors,Dallas Mavericks,2.57,1.55,AWAY
2021/10/24 08:00,Minnesota Timberwolves,New Orleans Pelicans,1.33,3.48,HOME
2021/10/24 08:00,Chicago Bulls,Detroit Pistons,1.29,3.82,HOME
2021/10/24 08:30,San Antonio Spurs,Milwaukee Bucks,3.08,1.4,AWAY
2021/10/24 10:00,Portland Trail Blazers,Phoenix Suns,1.67,2.28,HOME
2021/10/24 10:30,Los Angeles Clippers,Memphis Grizzlies,1.58,2.47,AWAY
2021/10/25 04:00,Brooklyn Nets,Charlotte Hornets,1.23,4.41,AWAY
2021/10/25 07:00,Oklahoma City Thunder,Philadelphia 76ers,4.74,1.21,AWAY
2021/10/25 07:00,New York Knicks,Orlando Magic,1.13,6.53,AWAY
2021/10/25 07:00,Houston Rockets,Boston Celtics,2.8,1.47,AWAY
2021/10/25 09:00,Sacramento Kings,Golden State Warriors,2.3,1.66,AWAY
2021/10/25 09:30,Los Angeles Lakers,Memphis Grizzlies,1.49,2.75,HOME
2021/10/26 07:00,Indiana Pacers,Milwaukee Bucks,2.1,1.8,AWAY
2021/10/26 07:00,Charlotte Hornets,Boston Celtics,2.08,1.8,AWAY
2021/10/26 07:30,Toronto Raptors,Chicago Bulls,2.12,1.77,AWAY
2021/10/26 07:30,Miami Heat,Orlando Magic,1.1,7.87,HOME
2021/10/26 07:30,Brooklyn Nets,Washington Wizards,1.42,2.98,HOME
2021/10/26 07:30,Atlanta Hawks,Detroit Pistons,1.15,5.87,HOME
2021/10/26 08:00,Minnesota Timberwolves,New Orleans Pelicans,1.44,2.9,AWAY
2021/10/26 09:00,Denver Nuggets,Cleveland Cavaliers,1.2,4.95,AWAY
2021/10/26 10:30,Los Angeles Clippers,Portland Trail Blazers,1.74,2.17,HOME
2021/10/27 07:30,New York Knicks,Philadelphia 76ers,1.86,1.99,HOME
2021/10/27 08:00,Oklahoma City Thunder,Golden State Warriors,4.73,1.21,AWAY
2021/10/27 08:30,San Antonio Spurs,Los Angeles Lakers,1.75,2.16,AWAY
2021/10/27 08:30,Dallas Mavericks,Houston Rockets,1.15,5.83,HOME
2021/10/27 10:00,Utah Jazz,Denver Nuggets,1.32,3.55,HOME
2021/10/28 07:00,Orlando Magic,Charlotte Hornets,2.88,1.45,AWAY
2021/10/28 07:30,Toronto Raptors,Indiana Pacers,1.86,1.99,HOME
2021/10/28 07:30,New Orleans Pelicans,Atlanta Hawks,2.73,1.49,AWAY
2021/10/28 07:30,Brooklyn Nets,Miami Heat,1.65,2.35,AWAY
2021/10/28 07:30,Boston Celtics,Washington Wizards,1.57,2.51,AWAY
2021/10/28 08:00,Oklahoma City Thunder,Los Angeles Lakers,2.95,1.43,HOME
2021/10/28 08:00,Milwaukee Bucks,Minnesota Timberwolves,1.43,2.99,AWAY
2021/10/28 10:00,Portland Trail Blazers,Memphis Grizzlies,1.74,2.17,HOME
2021/10/28 10:00,Phoenix Suns,Sacramento Kings,1.29,3.85,AWAY
2021/10/28 10:30,Los Angeles Clippers,Cleveland Cavaliers,1.27,3.96,AWAY
2021/10/29 07:00,Washington Wizards,Atlanta Hawks,2.47,1.58,HOME
2021/10/29 07:00,Philadelphia 76ers,Detroit Pistons,1.17,5.43,HOME
2021/10/29 08:00,Houston Rockets,Utah Jazz,4.51,1.23,AWAY
2021/10/29 08:00,Chicago Bulls,New York Knicks,1.86,2.01,AWAY
2021/10/29 08:30,Dallas Mavericks,San Antonio Spurs,1.39,3.17,HOME
2021/10/29 10:00,Golden State Warriors,Memphis Grizzlies,1.41,3.03,AWAY
2021/10/30 07:00,Toronto Raptors,Orlando Magic,1.23,4.41,HOME
2021/10/30 07:30,Miami Heat,Charlotte Hornets,1.37,3.24,HOME
2021/10/30 07:30,Brooklyn Nets,Indiana Pacers,1.25,4.24,HOME
2021/10/30 08:00,New Orleans Pelicans,Sacramento Kings,2,1.86,AWAY
2021/10/30 10:00,Portland Trail Blazers,Los Angeles Clippers,1.63,2.38,HOME
2021/10/30 10:00,Denver Nuggets,Dallas Mavericks,1.61,2.42,HOME
2021/10/30 10:30,Los Angeles Lakers,Cleveland Cavaliers,1.29,3.84,HOME
2021/10/31 05:00,Washington Wizards,Boston Celtics,1.77,2.11,HOME
2021/10/31 07:00,New Orleans Pelicans,New York Knicks,3.82,1.29,AWAY
2021/10/31 07:00,Detroit Pistons,Orlando Magic,1.43,2.96,HOME
2021/10/31 07:30,Philadelphia 76ers,Atlanta Hawks,1.61,2.42,HOME
2021/10/31 07:30,Indiana Pacers,Toronto Raptors,1.68,2.26,AWAY
2021/10/31 08:00,Minnesota Timberwolves,Denver Nuggets,1.83,2.04,AWAY
2021/10/31 08:00,Milwaukee Bucks,San Antonio Spurs,1.35,3.3,AWAY
2021/10/31 08:00,Memphis Grizzlies,Miami Heat,1.61,2.4,AWAY
2021/10/31 08:00,Chicago Bulls,Utah Jazz,2.35,1.63,HOME
2021/10/31 08:30,Golden State Warriors,Oklahoma City Thunder,1.12,6.8,HOME
2021/10/31 10:00,Phoenix Suns,Cleveland Cavaliers,1.2,4.87,HOME
2021/11/1 03:30,Dallas Mavericks,Sacramento Kings,1.57,2.51,HOME
2021/11/1 07:00,Milwaukee Bucks,Utah Jazz,2.72,1.51,AWAY
2021/11/1 07:00,Charlotte Hornets,Portland Trail Blazers,2.1,1.79,HOME
2021/11/1 07:30,Brooklyn Nets,Detroit Pistons,1.13,6.71,HOME
2021/11/1 10:30,Los Angeles Lakers,Houston Rockets,1.17,5.49,HOME
2021/11/2 07:00,Philadelphia 76ers,Portland Trail Blazers,2.13,1.77,HOME
2021/11/2 07:00,Indiana Pacers,San Antonio Spurs,1.69,2.24,HOME
2021/11/2 07:00,Charlotte Hornets,Cleveland Cavaliers,1.5,2.71,AWAY
2021/11/2 07:30,New York Knicks,Toronto Raptors,1.35,3.39,AWAY
2021/11/2 07:30,Boston Celtics,Chicago Bulls,1.68,2.27,AWAY
2021/11/2 07:30,Atlanta Hawks,Washington Wizards,1.49,2.74,HOME
2021/11/2 08:00,Minnesota Timberwolves,Orlando Magic,1.25,4.23,AWAY
2021/11/2 08:00,Memphis Grizzlies,Denver Nuggets,1.8,2.08,HOME
2021/11/2 10:30,Los Angeles Clippers,Oklahoma City Thunder,1.12,6.66,HOME
2021/11/3 07:00,Detroit Pistons,Milwaukee Bucks,2.58,1.54,AWAY
2021/11/3 07:30,Dallas Mavericks,Miami Heat,2.23,1.7,AWAY
2021/11/3 09:00,Utah Jazz,Sacramento Kings,1.23,4.5,HOME
2021/11/3 10:00,Phoenix Suns,New Orleans Pelicans,1.19,5.11,HOME
2021/11/3 10:30,Los Angeles Lakers,Houston Rockets,1.15,5.88,HOME
2021/11/4 07:00,Washington Wizards,Toronto Raptors,1.61,2.4,AWAY
2021/11/4 07:00,Philadelphia 76ers,Chicago Bulls,1.73,2.17,HOME
2021/11/4 07:00,Orlando Magic,Boston Celtics,3.36,1.35,AWAY
2021/11/4 07:00,Indiana Pacers,New York Knicks,1.93,1.92,HOME
