game_datetime,team_home,team_away,odds_home,odds_away,outcome
2015-10-19 07:00:00,Atlanta Hawks,Miami Heat,1.33,3.43,AWAY
2015-10-19 09:00:00,Portland Trail Blazers,Utah Jazz,1.36,3.26,HOME
2015-10-20 07:00:00,Cleveland Cavaliers,Dallas Mavericks,1.56,2.48,HOME
2015-10-20 07:00:00,Charlotte Hornets,Chicago Bulls,1.66,2.27,HOME
2015-10-20 07:30:00,Boston Celtics,Brooklyn Nets,1.26,3.92,HOME
2015-10-20 08:00:00,Houston Rockets,New Orleans Pelicans,1.4,3.02,HOME
2015-10-20 10:30:00,Los Angeles Lakers,Portland Trail Blazers,1.52,2.6,HOME
2015-10-21 08:00:00,Milwaukee Bucks,Minnesota Timberwolves,1.62,2.34,HOME
2015-10-21 08:00:00,Chicago Bulls,Indiana Pacers,2.43,1.58,HOME
2015-10-21 08:30:00,San Antonio Spurs,Phoenix Suns,1.52,2.6,AWAY
2015-10-21 09:00:00,Utah Jazz,Oklahoma City Thunder,2.63,1.51,AWAY
2015-10-21 10:30:00,Los Angeles Clippers,Golden State Warriors,1.54,2.54,HOME
2015-10-22 07:00:00,Orlando Magic,New Orleans Pelicans,2.49,1.56,HOME
2015-10-22 07:30:00,Detroit Pistons,Charlotte Hornets,2.05,1.78,AWAY
2015-10-22 08:00:00,Miami Heat,Washington Wizards,1.55,2.5,HOME
2015-10-22 08:00:00,Atlanta Hawks,Memphis Grizzlies,1.75,2.1,AWAY
2015-10-22 08:30:00,Dallas Mavericks,Phoenix Suns,2.6,1.51,AWAY
2015-10-23 07:00:00,Indiana Pacers,Charlotte Hornets,1.44,2.87,HOME
2015-10-23 07:30:00,Boston Celtics,New York Knicks,1.54,2.54,HOME
2015-10-23 09:00:00,Utah Jazz,Denver Nuggets,1.56,2.49,HOME
2015-10-23 10:00:00,Los Angeles Lakers,Golden State Warriors,3.52,1.31,AWAY
2015-10-23 10:30:00,Los Angeles Clippers,Portland Trail Blazers,1.45,2.79,HOME
2015-10-24 07:00:00,Orlando Magic,Memphis Grizzlies,1.83,2.01,HOME
2015-10-24 07:30:00,Toronto Raptors,Washington Wizards,1.58,2.42,HOME
2015-10-24 07:30:00,Detroit Pistons,Atlanta Hawks,1.82,2.05,HOME
2015-10-24 07:30:00,Boston Celtics,Philadelphia 76ers,1.31,3.48,HOME
2015-10-24 08:00:00,New Orleans Pelicans,Miami Heat,1.66,2.27,HOME
2015-10-24 08:00:00,Minnesota Timberwolves,Milwaukee Bucks,2.49,1.56,HOME
2015-10-24 08:00:00,Chicago Bulls,Dallas Mavericks,1.33,3.42,HOME
2015-10-24 08:30:00,San Antonio Spurs,Houston Rockets,1.65,2.29,HOME
2015-10-28 08:00:00,Chicago Bulls,Cleveland Cavaliers,1.57,2.5,HOME
2015-10-28 08:00:00,Atlanta Hawks,Detroit Pistons,1.32,3.53,AWAY
2015-10-28 10:30:00,Golden State Warriors,New Orleans Pelicans,1.14,6.19,HOME
2015-10-29 07:00:00,Orlando Magic,Washington Wizards,2.6,1.53,AWAY
2015-10-29 07:30:00,Toronto Raptors,Indiana Pacers,1.46,2.83,HOME
2015-10-29 07:30:00,Miami Heat,Charlotte Hornets,1.37,3.26,HOME
2015-10-29 07:30:00,Detroit Pistons,Utah Jazz,1.94,1.9,HOME
2015-10-29 07:30:00,Brooklyn Nets,Chicago Bulls,2.78,1.47,AWAY
2015-10-29 07:30:00,Boston Celtics,Philadelphia 76ers,1.09,8.33,HOME
2015-10-29 08:00:00,Oklahoma City Thunder,San Antonio Spurs,1.54,2.59,HOME
2015-10-29 08:00:00,Milwaukee Bucks,New York Knicks,1.48,2.73,AWAY
2015-10-29 08:00:00,Memphis Grizzlies,Cleveland Cavaliers,1.47,2.79,AWAY
2015-10-29 08:00:00,Houston Rockets,Denver Nuggets,1.14,6.09,AWAY
2015-10-29 10:00:00,Sacramento Kings,Los Angeles Clippers,2.98,1.42,AWAY
2015-10-29 10:00:00,Portland Trail Blazers,New Orleans Pelicans,1.72,2.18,HOME
2015-10-29 10:00:00,Phoenix Suns,Dallas Mavericks,1.4,3.06,AWAY
2015-10-29 10:30:00,Los Angeles Lakers,Minnesota Timberwolves,1.68,2.25,AWAY
2015-10-30 07:00:00,Indiana Pacers,Memphis Grizzlies,2.29,1.66,AWAY
2015-10-30 08:00:00,New York Knicks,Atlanta Hawks,2.67,1.51,AWAY
2015-10-30 10:30:00,Los Angeles Clippers,Dallas Mavericks,1.11,7.25,HOME
2015-10-31 07:00:00,Philadelphia 76ers,Utah Jazz,3.72,1.3,AWAY
2015-10-31 07:00:00,Orlando Magic,Oklahoma City Thunder,3.91,1.28,AWAY
2015-10-31 07:00:00,Cleveland Cavaliers,Miami Heat,1.46,2.86,HOME
2015-10-31 07:30:00,Detroit Pistons,Chicago Bulls,2.29,1.66,HOME
2015-10-31 07:30:00,Boston Celtics,Toronto Raptors,1.78,2.09,AWAY
2015-10-31 08:00:00,Milwaukee Bucks,Washington Wizards,2.11,1.76,AWAY
2015-10-31 08:00:00,Atlanta Hawks,Charlotte Hornets,1.55,2.56,HOME
2015-10-31 08:30:00,San Antonio Spurs,Brooklyn Nets,1.05,11.13,HOME
2015-10-31 09:00:00,Denver Nuggets,Minnesota Timberwolves,1.6,2.42,AWAY
2015-10-31 09:30:00,Houston Rockets,Golden State Warriors,2.01,1.85,AWAY
2015-10-31 10:00:00,Sacramento Kings,Los Angeles Lakers,1.32,3.53,HOME
2015-10-31 10:30:00,Phoenix Suns,Portland Trail Blazers,1.53,2.61,HOME
2015-11-01 07:00:00,Washington Wizards,New York Knicks,1.29,3.77,AWAY
2015-11-01 07:00:00,Indiana Pacers,Utah Jazz,1.62,2.4,AWAY
